Id,Comfort,Floor,FurnishedAndFit,LivingSurface,Neighborhood,NumberOfBathrooms,NumberOfParkingSpaces,NumberOfRooms,Partitioning,PossibilityOfParking,Price,PropertyStatus,PropertyType,TotalNumberOfFloors,YearBuilt
F745B8E8-8B9D-4715-BC45-04A86766A3DB,1,1,-,67,Bucium,0,0,3,Decomandat,False,53600,n construcie,Bloc de apartamente,0,2018
DE1467D3-B54F-468D-9BB0-04B899A8E1A9,-,0,Neutilat,133,Copou,3,0,5,-,True,119700,Nou,-,2,2018
EB789E49-3E47-47D7-853E-04BDAE5AE613,-,6,-,74,Nicolina,0,0,3,Decomandat,False,79000,-,-,0,1986
D126D585-CE72-463E-A270-04CF776EA284,-,2,-,47,Bucium,0,0,2,Decomandat,False,46500,-,-,0,2018
0B9E622A-AEF2-46C9-9CAA-04F46876407C,-,1,-,32,Pacurari,0,0,1,Decomandat,False,24600,-,-,0,2017
958E4443-996D-4EAB-9A73-050D0A365AFE,-,1,-,40,Tudor Vladimirescu,0,0,1,Decomandat,False,40392,-,-,0,2018
DBC38861-7078-49DD-91BA-0540144B6FA3,Lux,1,-,59,Miroslava,0,0,2,Decomandat,False,47200,Nou,Bloc de apartamente,0,2018
B30784E3-1E96-4872-8942-055339AD6590,Lux,6,-,59,Nicolina,0,0,2,Decomandat,False,76900,n construcie,Bloc de apartamente,0,2018
81A3F07D-15E4-4F6B-B0BE-05676447C37E,-,10,Complet,40,Alexandru cel Bun,0,0,2,Nedecomandat,False,36000,Nou,Bloc de apartamente,10,1980
22AA9F94-A27D-47CA-83C4-056B38B2705F,-,1,-,65,Cug,0,0,3,Decomandat,False,52000,-,-,0,2018
2242C5E9-CF47-489E-937E-0572D389EC1B,-,9,-,70,Alexandru cel Bun,0,0,2,Decomandat,False,62000,-,-,0,1990
897641D6-96CC-4BE2-8E97-05753DEDBEFD,1,1,-,100,Aeroport,0,0,4,Decomandat,False,89000,Bun,Bloc de apartamente,0,1991
86F40AB4-E8CB-4E9D-B1C4-0584583E12A8,-,3,-,40,Pacurari,0,0,1,Decomandat,False,25000,-,-,0,2018
621F13AB-EA2B-4FD5-8FC8-05853C3B17DB,-,0,-,118,Miroslava,0,0,4,-,False,73000,-,-,0,2018
F6E2F90F-B4DE-4B46-97C7-058B0027551F,-,2,-,52,Mircea cel Batran,0,0,3,Decomandat,False,47500,-,-,0,1977
B946813B-A5D8-46EE-BFCF-05A2EC8B5829,-,3,-,63,Copou,0,0,3,Decomandat,False,75000,-,-,0,2017
702709DA-A2AD-4C1C-BE2C-05A7C01EC4A8,1,1,Parial,44,Tudor Vladimirescu,1,0,2,Nedecomandat,False,46000,Bun,Bloc de apartamente,3,1961
92445F5A-D5CE-4015-962C-05B15A05C19D,-,1,-,34,Frumoasa,0,0,2,Semidecomandat,False,28000,-,-,0,2018
D559993B-0334-444E-8714-05C937BAB4D7,-,2,-,48,Copou,0,0,2,Semidecomandat,False,52237,-,-,0,2018
1C3DA86C-DA07-4EAC-865F-05C940035E9E,-,2,-,64,Podu Ros,0,0,3,Semidecomandat,False,49900,-,-,0,1972
BDFB999F-9F35-4702-9306-05CAF02E11F6,-,0,Nemobilat,88,Cug,2,1,3,-,True,76500,Bun,-,0,2018
FE8AC004-8B9F-4589-A1B7-05CF5D073FC4,-,11,-,36,Bucium,0,0,1,Decomandat,False,35000,-,-,0,2018
DF2364AC-31C9-467F-A189-05DA9B947907,-,5,-,60,Cug,0,0,3,Decomandat,False,54000,-,-,0,2018
7E56F49D-1514-4983-BBDA-05F2F87E6436,1,2,Complet,43,Valea Adanca,1,1,1,Decomandat,True,36000,Nou,Bloc de apartamente,3,2016
E1AAEF00-9377-4512-9306-05F9EA5692F1,-,0,-,45,Ultracentral,0,0,1,-,False,45000,-,-,0,2000
BA3C4AA3-5954-4C52-9FE3-060BA614E83B,-,3,-,40,Tudor Vladimirescu,0,0,2,Semidecomandat,False,51500,-,-,0,2019
57E0C465-C603-4C1D-92A8-060BEC119E6C,1,3,-,58,Tatarasi,0,0,3,Decomandat,False,53000,Renovat,Bloc de apartamente,0,1977
457BC200-0B2E-4E82-9867-060E16405D17,-,1,Parial,60,Cug,0,0,3,Decomandat,False,53600,Nou,Bloc de apartamente,11,2017
10C2D2DD-3BE6-46DC-8738-060F8D4A8E2A,-,1,-,22,Alexandru cel Bun,0,0,0,-,False,20500,-,-,0,1978
77617B42-72B6-4A4D-BCD6-06109E65C1A9,-,2,-,90,Palat,0,0,4,Decomandat,False,140000,-,-,0,1980
9AA601B5-4ECC-45AF-8F31-061A25154331,-,4,-,36,Tatarasi,0,0,2,Nedecomandat,False,31500,-,-,0,1978
6A182F75-9DD7-4440-AC9C-0620900FEB70,1,3,-,58,Tatarasi,0,0,3,Decomandat,False,53000,Renovat,Bloc de apartamente,0,1977
544A2941-BD47-48C0-A4F1-0638F4BA208D,-,1,-,30,Tudor Vladimirescu,0,0,1,Decomandat,False,37948,-,-,0,2018
F1C8F010-096D-4173-984B-06469C48EF75,-,2,-,91,Valea Adanca,0,0,3,Decomandat,False,63000,-,-,0,2018
C5BDB612-1487-479C-AE90-0657C5B5874B,-,5,-,64,Canta,0,0,3,Decomandat,False,52900,-,-,0,2006
7426E691-3A49-4C61-971A-0663F32AC823,-,3,-,45,Cug,0,0,2,Semidecomandat,False,40500,-,-,0,2018
3F0E66F2-BDED-4F04-A264-0675521D8170,-,3,-,70,Tatarasi,0,0,3,Decomandat,False,75000,Nou,Bloc de apartamente,4,1977
280AECD2-0C59-4C00-990D-06796DB0261F,-,3,-,50,Tatarasi,0,0,2,Semidecomandat,False,35000,-,-,0,1978
1397A432-0432-4A6E-9083-06859C434AE6,1,2,Parial,27,Tatarasi,1,0,1,Decomandat,False,35000,Bun,Bloc de apartamente,4,1980
2A2A0585-0CEA-47E3-A69A-068DD5DA420E,-,4,-,74,Frumoasa,0,0,3,Decomandat,False,60000,Bun,Bloc de apartamente,4,1984
E84D2239-4DE7-4C71-ACCA-068E7CDF2604,-,1,-,36,Tatarasi,0,0,2,Nedecomandat,False,40000,-,-,0,1972
56D815E1-634D-4F81-AD04-06A2A5F86A52,-,10,-,54,Bicaz,0,0,2,Decomandat,False,43000,-,-,0,1979
67BB0DEE-CE5C-435E-9D8B-06B0034BB368,-,8,-,50,Copou,0,0,2,Decomandat,False,70000,Renovat,Bloc de apartamente,9,1966
0D52BBE5-AE31-4E5F-B854-06B14D54B872,-,2,-,50,Podu Ros,0,0,2,Semidecomandat,False,39500,-,-,0,1970
CA8E9F6E-13FA-45F4-BB98-06B8815C4B76,1,2,-,57,Tatarasi,1,0,2,Decomandat,False,79000,Bun,Bloc de apartamente,5,2018
C972893B-542B-400A-B1D5-06C045A729F3,-,2,-,77,Pacurari,0,0,3,Decomandat,False,67000,-,-,0,2016
6FFA9970-D3B1-4949-A7D8-06C9D571AC52,-,1,-,72,Nicolina,0,0,3,Decomandat,False,65000,-,-,0,1980
A6F99287-9928-4D21-A0E5-06CD6BE39706,-,1,-,26,Tatarasi,0,0,1,Decomandat,False,30000,-,-,0,2018
E1D98762-F2B9-44E5-A175-06D3C75CF0AC,-,8,-,90,Bicaz,0,0,4,Decomandat,False,65900,-,-,0,1980
51DCA46C-D715-4C84-8CB4-06EEAE261980,-,13,-,72,Tudor Vladimirescu,0,0,3,Semidecomandat,False,115210,-,-,0,2018
F012C23C-748E-4778-86DF-0702C0A4602D,-,1,-,27,Pacurari,0,0,1,Decomandat,False,26000,-,-,0,2018
7C2E7935-6EE5-470B-AF05-07089BBC7F62,-,4,-,54,Podul de Piatra,0,0,2,Decomandat,False,43000,-,-,0,1972
65985649-F181-46BB-B8BC-07278BE2DDC6,-,1,-,69,Frumoasa,0,0,3,Decomandat,False,59500,-,-,0,2015
9D3AFFA2-7062-4236-8CB4-072960B94215,1,3,-,16,Bularga,0,0,1,Nedecomandat,False,14000,Bun,Bloc de apartamente,0,1979
3BAB578C-D3B9-4817-884B-072E118F7E28,-,1,-,60,Cug,0,0,3,Decomandat,False,47900,-,-,0,2017
930C099E-95B9-4BF8-BE48-0735A8A734F0,Lux,1,-,51,Pacurari,0,0,2,Decomandat,False,65200,n construcie,Bloc de apartamente,0,2019
FAD5B07F-136E-4B2F-A9F0-0742B75A8BAC,-,1,-,53,Pacurari,0,0,1,Semidecomandat,False,22000,-,-,0,2016
F5B76C23-F5E7-4311-B3CB-074488F53123,-,4,-,52,Podu Ros,0,0,2,Semidecomandat,False,45900,-,-,0,1972
6D02950F-52F6-4437-8E80-0757AB6AF2B0,1,6,-,73,Nicolina,2,0,3,Decomandat,False,77500,Bun,Bloc de apartamente,8,1986
5856CC73-A4A2-42EB-9352-075AA232F538,1,4,-,58,Copou,0,0,3,Semidecomandat,False,55000,Renovat,Bloc de apartamente,0,1960
9ED472BB-7370-40D4-A515-0761B8C98EAF,-,3,-,18,Nicolina,0,0,0,-,False,14800,-,-,0,1980
1176978E-2CC7-4BCD-A108-07682BF50771,1,2,-,52,Nicolina,0,0,2,Decomandat,False,65600,Nou,Bloc de apartamente,0,2018
3E1F3187-B800-46F8-BE75-0772C156DE68,-,1,Complet,62,Tatarasi,0,0,3,Semidecomandat,False,69000,Renovat,Bloc de apartamente,4,1970
D69F373A-42DB-4B6D-8E81-0794927EF34C,-,4,-,70,Centru Civic,0,0,3,Semidecomandat,False,92000,-,-,0,1980
BC94944A-53FD-4BD0-8978-07ABAC11A619,-,2,-,58,Pacurari,0,0,2,Decomandat,False,46640,-,-,0,2018
98E37B4E-6303-4A88-99F8-07B0DB8A5DB0,-,4,-,64,Podul de Piatra,0,0,3,Semidecomandat,False,47900,-,-,0,1972
